raw_row_number,date,time,location,district,service_area,subject_age,subject_race,subject_sex,type,arrest_made,contraband_found,frisk_performed,search_conducted,search_person,search_vehicle,raw_race,raw_individual_contraband,raw_vehicle_contraband
214699,1/28/2014,18:05:00,N 48TH ST / ASPEN ST,16,162,48,asian/pacific islander,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Asian,FALSE,FALSE
251270,1/28/2014,18:06:00,1700 BLOCK N 33RD ST,22,224,28,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
156537,1/28/2014,18:08:00,5600 BLOCK RIDGEWOOD ST,12,124,28,black,male,pedestrian,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Black - Non-Latino,FALSE,FALSE
251271,1/28/2014,18:09:00,N 15TH ST / DIAMOND ST,22,221,59,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234885,1/28/2014,18:09:00,N 52ND ST / WARREN ST,19,192,19,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234526,1/28/2014,18:09:00,N 52ND ST / WARREN ST,19,192,34,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234537,1/28/2014,18:10:00,1400 BLOCK N FELTON ST,19,192,18,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234887,1/28/2014,18:10:00,1600 BLOCK N 57TH ST,19,192,21,black,male,pedestrian,FALSE,NA,TRUE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
147611,1/28/2014,18:10:00,1900 BLOCK FAIRMOUNT AV,9,93,45,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
324182,1/28/2014,18:10:00,5400 BLOCK N 12TH ST,35,352,19,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
324181,1/28/2014,18:10:00,5400 BLOCK N 12TH ST,35,352,36,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
411478,1/28/2014,18:10:00,NA,19,192,19,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
411559,1/28/2014,18:10:00,NA,35,353,45,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234886,1/28/2014,18:12:00,5900 BLOCK LANSDOWNE AV,19,192,50,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
147904,1/28/2014,18:15:00,1500 BLOCK POPLAR ST,9,93,43,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
135244,1/28/2014,18:15:00,400 BLOCK BYBERRY RD,7,73,61,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
142114,1/28/2014,18:15:00,FRANKFORD AV / MEGARGEE ST,8,81,32,hispanic,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
156533,1/28/2014,18:16:00,1300 BLOCK S 57TH ST,12,124,49,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
142115,1/28/2014,18:17:00,1900 BLOCK FRANKLIN MILLS CIR,8,83,22,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
214701,1/28/2014,18:17:00,N 39TH ST / W GIRARD AV,16,161,40,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
121428,1/28/2014,18:18:00,3700 BLOCK MAIN ST,5,51,25,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
125725,1/28/2014,18:18:00,N 05TH ST / BROWN ST,6,61,38,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234898,1/28/2014,18:19:00,S 55TH ST / MARKET ST,19,192,55,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
222425,1/28/2014,18:22:00,1600 BLOCK S 18TH ST,17,172,41,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
251272,1/28/2014,18:23:00,N 11TH ST / DIAMOND ST,22,221,31,black,female,vehicular,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Black - Non-Latino,FALSE,FALSE
156534,1/28/2014,18:24:00,6200 BLOCK ELMWOOD AV,12,123,36,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
214702,1/28/2014,18:24:00,N 39TH ST / W GIRARD AV,16,161,19,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
280715,1/28/2014,18:25:00,400 BLOCK E TUSCULUM ST,24,242,47,hispanic,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
324183,1/28/2014,18:25:00,500 BLOCK E OLNEY AV,35,352,28,black,male,pedestrian,FALSE,NA,TRUE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
121427,1/28/2014,18:25:00,PARKER AV / RIDGE AV,5,52,26,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
192197,1/28/2014,18:26:00,1700 BLOCK MARGARET ST,15,151,29,black,male,vehicular,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Black - Non-Latino,FALSE,TRUE
125726,1/28/2014,18:26:00,200 BLOCK N FRANKLIN ST,6,62,54,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
251275,1/28/2014,18:26:00,2100 BLOCK N BROAD ST,22,221,21,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
234899,1/28/2014,18:26:00,S 61ST ST / MARKET ST,19,192,40,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
324184,1/28/2014,18:27:00,1300 BLOCK LINDLEY AV,35,352,23,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
242539,1/28/2014,18:30:00,5000 BLOCK SPRUCE ST,18,182,27,white,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
234888,1/28/2014,18:30:00,N 57TH ST / JEFFERSON ST,19,192,35,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
222435,1/28/2014,18:30:00,S 19TH ST / FITZWATER ST,17,171,55,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
410357,1/28/2014,18:30:00,NA,16,162,29,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234534,1/28/2014,18:34:00,100 BLOCK N ALLISON ST,19,192,46,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234535,1/28/2014,18:34:00,100 BLOCK N ALLISON ST,19,192,55,black,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
147612,1/28/2014,18:35:00,1400 BLOCK POPLAR ST,9,93,40,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
156536,1/28/2014,18:35:00,2600 BLOCK CARROLL ST,12,121,25,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
280714,1/28/2014,18:35:00,3000 BLOCK C ST,24,242,37,hispanic,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
214704,1/28/2014,18:35:00,3900 BLOCK BARING ST,16,161,26,black,female,vehicular,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Black - Non-Latino,FALSE,FALSE
242538,1/28/2014,18:35:00,400 BLOCK S 52ND ST,18,182,21,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
234889,1/28/2014,18:35:00,N 53RD ST / POPLAR ST,19,192,36,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
88079,1/28/2014,18:35:00,S 21ST ST / SNYDER AV,1,11,26,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
